
# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      14.01
8                      13.93
16                     14.25
32                     14.26
64                     14.28
128                    20.61
256                    20.75
512                    41.49
1024                   30.48
2048                   34.09
4096                   72.13
8192                  119.11
16384                 139.00
32768                 181.42
65536                 226.93
131072                313.96
262144                796.65
524288               2295.66
1048576              7503.51
